CardID,name,cmc,colorIdentity,text,printings,power,toughness,rarity,subtypes,types
27,Prized Elephant,4,"W,G","Prized Elephant gets +1/+1 as long as you control a Forest.\n{G}: Prized Elephant gains trample until end of turn. (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)",3,3,3,Uncommon,Elephant,Creature
28,Rain of Blades,1,W,Rain of Blades deals 1 damage to each attacking creature.,3,,,Uncommon,,Instant
29,Rhox Faithmender,4,W,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)\nIf you would gain life, you gain twice that much life instead.",3,1,5,Rare,"Rhino,Monk",Creature
30,Safe Passage,3,W,Prevent all damage that would be dealt to you and creatures you control this turn.,3,,,Common,,Instant
31,Serra Angel,5,W,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"2,3",4,4,Uncommon,Angel,Creature
32,Serra Avatar,7,W,"Serra Avatar's power and toughness are each equal to your life total.\nWhen Serra Avatar is put into a graveyard from anywhere, shuffle it into its owner's library.",3,*,*,Mythic Rare,Avatar,Creature
33,Serra Avenger,2,W,"You can't cast Serra Avenger during your first, second, or third turns of the game.\nFlying\nVigilance (Attacking doesn't cause this creature to tap.)",3,3,3,Rare,Angel,Creature
34,Show of Valor,2,W,Target creature gets +2/+4 until end of turn.,3,,,Common,,Instant
35,Silvercoat Lion,2,W,,3,2,2,Common,Cat,Creature
36,Sublime Archangel,4,W,"Flying\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nOther creatures you control have exalted. (If a creature has multiple instances of exalted, each triggers separately.)",3,4,3,Mythic Rare,Angel,Creature
37,Touch of the Eternal,7,W,"At the beginning of your upkeep, count the number of permanents you control. Your life total becomes that number.",3,,,Rare,,Enchantment
38,War Falcon,1,W,Flying\nWar Falcon can't attack unless you control a Knight or a Soldier.,3,2,1,Common,Bird,Creature
39,War Priest of Thune,2,W,"When War Priest of Thune enters the battlefield, you may destroy target enchantment.",3,2,2,Uncommon,"Human,Cleric",Creature
40,Warclamp Mastiff,1,W,First strike (This creature deals combat damage before creatures without first strike.),3,1,1,Common,Hound,Creature
41,Archaeomancer,4,U,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",3,1,2,Common,"Human,Wizard",Creature
42,Arctic Aven,3,"U,W",Flying\nArctic Aven gets +1/+1 as long as you control a Plains.\n{W}: Arctic Aven gains lifelink until end of turn. (Damage dealt by this creature also causes you to gain that much life.),3,2,1,Uncommon,"Bird,Wizard",Creature
43,Augur of Bolas,2,U,"When Augur of Bolas enters the battlefield, look at the top three cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",3,1,3,Uncommon,"Merfolk,Wizard",Creature
44,Battle of Wits,5,U,"At the beginning of your upkeep, if you have 200 or more cards in your library, you win the game.",3,,,Rare,,Enchantment
45,Clone,4,U,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,3,0,0,Rare,Shapeshifter,Creature
46,Courtly Provocateur,3,U,{T}: Target creature attacks this turn if able.\n{T}: Target creature blocks this turn if able.,3,1,1,Uncommon,"Human,Wizard",Creature
47,Divination,3,U,Draw two cards.,"2,3",,,Common,,Sorcery
48,Downpour,2,U,Tap up to three target creatures.,3,,,Common,,Instant
49,Encrust,3,U,Enchant artifact or creature\nEnchanted permanent doesn't untap during its controller's untap step and its activated abilities can't be activated.,3,,,Common,Aura,Enchantment
50,Essence Scatter,2,U,Counter target creature spell.,3,,,Common,,Instant
51,Faerie Invaders,5,U,Flash (You may cast this spell any time you could cast an instant.)\nFlying,3,3,3,Common,"Faerie,Rogue",Creature
52,Fog Bank,2,U,"Defender, flying\nPrevent all combat damage that would be dealt to and dealt by Fog Bank.",3,0,2,Uncommon,Wall,Creature
53,Harbor Serpent,6,U,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nHarbor Serpent can't attack unless there are five or more Islands on the battlefield.,"2,3",5,5,Common,Serpent,Creature
54,Hydrosurge,1,U,Target creature gets -5/-0 until end of turn.,3,,,Common,,Instant
55,Index,1,U,"Look at the top five cards of your library, then put them back in any order.",3,,,Common,,Sorcery
56,"Jace, Memory Adept",5,U,+1: Draw a card. Target player puts the top card of his or her library into his or her graveyard.\n0: Target player puts the top ten cards of his or her library into his or her graveyard.\n−7: Any number of target players each draw twenty cards.,"2,3",,,Mythic Rare,Jace,Planeswalker
57,Jace's Phantasm,1,U,Flying\nJace's Phantasm gets +4/+4 as long as an opponent has ten or more cards in his or her graveyard.,3,1,1,Uncommon,Illusion,Creature
58,Kraken Hatchling,1,U,,3,0,4,Common,Kraken,Creature
59,Master of the Pearl Trident,2,U,Other Merfolk creatures you control get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.),3,2,2,Rare,Merfolk,Creature
60,Merfolk of the Pearl Trident,1,U,,3,1,1,Common,Merfolk,Creature
61,Mind Sculpt,2,U,Target opponent puts the top seven cards of his or her library into his or her graveyard.,3,,,Common,,Sorcery
62,Negate,2,U,Counter target noncreature spell.,"2,3",,,Common,,Instant
63,Omniscience,10,U,You may cast nonland cards from your hand without paying their mana costs.,3,,,Mythic Rare,,Enchantment
64,Redirect,2,U,You may choose new targets for target spell.,"2,3",,,Rare,,Instant
65,Rewind,4,U,Counter target spell. Untap up to four lands.,3,,,Uncommon,,Instant
66,Scroll Thief,3,U,"Whenever Scroll Thief deals combat damage to a player, draw a card.",3,1,3,Common,"Merfolk,Rogue",Creature
67,Sleep,4,U,Tap all creatures target player controls. Those creatures don't untap during that player's next untap step.,3,,,Uncommon,,Sorcery
68,Spelltwine,6,U,Exile target instant or sorcery card from your graveyard and target instant or sorcery card from an opponent's graveyard. Copy those cards. Cast the copies if able without paying their mana costs. Exile Spelltwine.,3,,,Rare,,Sorcery
69,Sphinx of Uthuun,7,U,"Flying\nWhen Sphinx of Uthuun enters the battlefield, reveal the top five cards of your library. An opponent separates those cards into two piles. Put one pile into your hand and the other into your graveyard.","2,3",5,6,Rare,Sphinx,Creature
70,Stormtide Leviathan,8,U,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nAll lands are Islands in addition to their other types.\nCreatures without flying or islandwalk can't attack.,3,8,8,Rare,Leviathan,Creature
71,Switcheroo,5,U,Exchange control of two target creatures.,3,,,Uncommon,,Sorcery
72,"Talrand, Sky Summoner",4,U,"Whenever you cast an instant or sorcery spell, put a 2/2 blue Drake creature token with flying onto the battlefield.",3,2,2,Rare,"Merfolk,Wizard",Creature
73,Talrand's Invocation,4,U,Put two 2/2 blue Drake creature tokens with flying onto the battlefield.,3,,,Uncommon,,Sorcery
74,Tricks of the Trade,4,U,Enchant creature\nEnchanted creature gets +2/+0 and can't be blocked.,3,,,Common,Aura,Enchantment
75,Unsummon,1,U,Return target creature to its owner's hand.,"2,3",,,Common,,Instant
76,Vedalken Entrancer,4,U,"{U}, {T}: Target player puts the top two cards of his or her library into his or her graveyard.",3,1,4,Common,"Vedalken,Wizard",Creature
77,Void Stalker,2,U,"{2}{U}, {T}: Put Void Stalker and target creature on top of their owners' libraries, then those players shuffle their libraries.",3,2,1,Rare,Elemental,Creature
78,Watercourser,3,U,{U}: Watercourser gets +1/-1 until end of turn.,3,2,3,Common,Elemental,Creature
79,Welkin Tern,2,U,Flying (This creature can't be blocked except by creatures with flying or reach.)\nWelkin Tern can block only creatures with flying.,3,2,1,Common,Bird,Creature
80,Wind Drake,3,U,Flying,3,2,2,Common,Drake,Creature
81,Blood Reckoning,4,B,"Whenever a creature attacks you or a planeswalker you control, that creature's controller loses 1 life.",3,,,Uncommon,,Enchantment
82,Bloodhunter Bat,4,B,"Flying\nWhen Bloodhunter Bat enters the battlefield, target player loses 2 life and you gain 2 life.",3,2,2,Common,Bat,Creature
83,Bloodthrone Vampire,2,B,Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.,3,1,1,Common,Vampire,Creature
84,Cower in Fear,3,B,Creatures your opponents control get -1/-1 until end of turn.,3,,,Uncommon,,Instant
85,Crippling Blight,1,B,Enchant creature\nEnchanted creature gets -1/-1 and can't block.,3,,,Common,Aura,Enchantment
86,Dark Favor,2,B,"Enchant creature\nWhen Dark Favor enters the battlefield, you lose 1 life.\nEnchanted creature gets +3/+1.","2,3",,,Common,Aura,Enchantment
87,Diabolic Revelation,5,B,Search your library for up to X cards and put those cards into your hand. Then shuffle your library.,3,,,Rare,,Sorcery
88,Disciple of Bolas,4,B,"When Disciple of Bolas enters the battlefield, sacrifice another creature. You gain X life and draw X cards, where X is that creature's power.",3,2,1,Rare,"Human,Wizard",Creature
89,Disentomb,1,B,Return target creature card from your graveyard to your hand.,"2,3",,,Common,,Sorcery
90,Duress,1,B,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.",3,,,Common,,Sorcery
91,Duskmantle Prowler,4,B,"Haste (This creature can attack and {T} as soon as it comes under your control.)\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",3,2,2,Uncommon,"Vampire,Rogue",Creature
92,Duty-Bound Dead,1,B,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\n{3}{B}: Regenerate Duty-Bound Dead. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",3,0,2,Common,Skeleton,Creature
93,Essence Drain,5,B,Essence Drain deals 3 damage to target creature or player and you gain 3 life.,3,,,Common,,Sorcery
94,Giant Scorpion,3,B,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),3,1,3,Common,Scorpion,Creature
95,Harbor Bandit,3,"B,U",Harbor Bandit gets +1/+1 as long as you control an Island.\n{1}{U}: Harbor Bandit can't be blocked this turn.,3,2,2,Uncommon,"Human,Rogue",Creature
96,Knight of Infamy,2,B,"Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",3,2,1,Uncommon,"Human,Knight",Creature
97,Liliana of the Dark Realms,4,B,"+1: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.\n−3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.\n−6: You get an emblem with ""Swamps you control have ‘{T}: Add {B}{B}{B}{B} to your mana pool.'""",3,,,Mythic Rare,Liliana,Planeswalker
98,Liliana's Shade,4,B,"When Liliana's Shade enters the battlefield, you may search your library for a Swamp card, reveal it, put it into your hand, then shuffle your library.\n{B}: Liliana's Shade gets +1/+1 until end of turn.",3,1,1,Common,Shade,Creature
99,Mark of the Vampire,4,B,Enchant creature\nEnchanted creature gets +2/+2 and has lifelink. (Damage dealt by the creature also causes its controller to gain that much life.),3,,,Common,Aura,Enchantment
100,Mind Rot,3,B,Target player discards two cards.,"2,3",,,Common,,Sorcery
101,Murder,3,B,Destroy target creature.,3,,,Common,,Instant
102,Mutilate,4,B,All creatures get -1/-1 until end of turn for each Swamp you control.,3,,,Rare,,Sorcery
103,"Nefarox, Overlord of Grixis",6,B,"Flying\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever Nefarox, Overlord of Grixis attacks alone, defending player sacrifices a creature.",3,5,5,Rare,Demon,Creature
104,Phylactery Lich,3,B,"Indestructible\nAs Phylactery Lich enters the battlefield, put a phylactery counter on an artifact you control.\nWhen you control no permanents with phylactery counters on them, sacrifice Phylactery Lich.",3,5,5,Rare,Zombie,Creature
105,Public Execution,6,B,Destroy target creature an opponent controls. Each other creature that player controls gets -2/-0 until end of turn.,3,,,Uncommon,,Instant
106,Ravenous Rats,2,B,"When Ravenous Rats enters the battlefield, target opponent discards a card.",3,1,1,Common,Rat,Creature
107,Rise from the Grave,5,B,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.,3,,,Uncommon,,Sorcery
108,Servant of Nefarox,3,B,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",3,3,1,Common,"Human,Cleric",Creature
109,Shimian Specter,4,B,"Flying\nWhenever Shimian Specter deals combat damage to a player, that player reveals his or her hand. You choose a nonland card from it. Search that player's graveyard, hand, and library for all cards with the same name as that card and exile them. Then that player shuffles his or her library.",3,2,2,Rare,Specter,Creature
110,Sign in Blood,2,B,Target player draws two cards and loses 2 life.,3,,,Common,,Sorcery
111,Tormented Soul,1,B,Tormented Soul can't block and can't be blocked.,"2,3",1,1,Common,Spirit,Creature
112,Vampire Nighthawk,3,B,Flying\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nLifelink (Damage dealt by this creature also causes you to gain that much life.),3,2,3,Uncommon,"Vampire,Shaman",Creature
113,Vampire Nocturnus,4,B,"Play with the top card of your library revealed.\nAs long as the top card of your library is black, Vampire Nocturnus and other Vampire creatures you control get +2/+1 and have flying.",3,3,3,Mythic Rare,Vampire,Creature
114,Veilborn Ghoul,5,B,"Veilborn Ghoul can't block.\nWhenever a Swamp enters the battlefield under your control, you may return Veilborn Ghoul from your graveyard to your hand.",3,4,1,Uncommon,Zombie,Creature
115,Vile Rebirth,1,B,Exile target creature card from a graveyard. Put a 2/2 black Zombie creature token onto the battlefield.,3,,,Common,,Instant
116,Walking Corpse,2,B,,3,2,2,Common,Zombie,Creature
117,Wit's End,7,B,Target player discards his or her hand.,3,,,Rare,,Sorcery
118,Xathrid Gorgon,6,B,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\n{2}{B}, {T}: Put a petrification counter on target creature. It gains defender and becomes a colorless artifact in addition to its other types. Its activated abilities can't be activated. (A creature with defender can't attack.)",3,3,6,Rare,Gorgon,Creature
119,Zombie Goliath,5,B,,"2,3",4,3,Common,"Zombie,Giant",Creature
120,Arms Dealer,3,R,"{1}{R}, Sacrifice a Goblin: Arms Dealer deals 4 damage to target creature.",3,1,1,Uncommon,"Goblin,Rogue",Creature
121,Bladetusk Boar,4,R,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),3,3,2,Common,Boar,Creature
122,Canyon Minotaur,4,R,,3,3,3,Common,"Minotaur,Warrior",Creature
123,"Chandra, the Firebrand",4,R,"+1: Chandra, the Firebrand deals 1 damage to target creature or player.\n−2: When you cast your next instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.\n−6: Chandra, the Firebrand deals 6 damage to each of up to six target creatures and/or players.","2,3",,,Mythic Rare,Chandra,Planeswalker
124,Chandra's Fury,5,R,Chandra's Fury deals 4 damage to target player and 1 damage to each creature that player controls.,3,,,Common,,Instant
125,Cleaver Riot,5,R,Creatures you control gain double strike until end of turn. (They deal both first-strike and regular combat damage.),3,,,Uncommon,,Sorcery
126,Craterize,4,R,Destroy target land.,3,,,Common,,Sorcery
127,Crimson Muckwader,2,"R,B","Crimson Muckwader gets +1/+1 as long as you control a Swamp.\n{2}{B}: Regenerate Crimson Muckwader. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",3,2,1,Uncommon,Lizard,Creature
128,Dragon Hatchling,2,R,Flying\n{R}: Dragon Hatchling gets +1/+0 until end of turn.,3,0,1,Common,Dragon,Creature
129,Fervor,3,R,Creatures you control have haste. (They can attack and {T} as soon as they come under your control.),3,,,Rare,,Enchantment
130,Fire Elemental,5,R,,3,5,4,Common,Elemental,Creature
131,Firewing Phoenix,4,R,Flying\n{1}{R}{R}{R}: Return Firewing Phoenix from your graveyard to your hand.,3,4,2,Rare,Phoenix,Creature
132,Flames of the Firebrand,3,R,"Flames of the Firebrand deals 3 damage divided as you choose among one, two, or three target creatures and/or players.",3,,,Uncommon,,Sorcery
133,Furnace Whelp,4,R,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Furnace Whelp gets +1/+0 until end of turn.,3,2,2,Uncommon,Dragon,Creature
134,Goblin Arsonist,1,R,"When Goblin Arsonist dies, you may have it deal 1 damage to target creature or player.","2,3",1,1,Common,"Goblin,Shaman",Creature
135,Goblin Battle Jester,4,R,"Whenever you cast a red spell, target creature can't block this turn.",3,2,2,Common,Goblin,Creature
136,Hamletback Goliath,7,R,"Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power.",3,6,6,Rare,"Giant,Warrior",Creature
137,Kindled Fury,1,R,Target creature gets +1/+0 and gains first strike until end of turn.,3,,,Common,,Instant
138,"Krenko, Mob Boss",4,R,"{T}: Put X 1/1 red Goblin creature tokens onto the battlefield, where X is the number of Goblins you control.",3,3,3,Rare,"Goblin,Warrior",Creature
139,Krenko's Command,2,R,Put two 1/1 red Goblin creature tokens onto the battlefield.,3,,,Common,,Sorcery
140,Magmaquake,2,R,Magmaquake deals X damage to each creature without flying and each planeswalker.,3,,,Rare,,Instant
141,Mark of Mutiny,3,R,Gain control of target creature until end of turn. Put a +1/+1 counter on it and untap it. That creature gains haste until end of turn. (It can attack and {T} this turn.),3,,,Uncommon,,Sorcery
142,Mindclaw Shaman,5,R,"When Mindclaw Shaman enters the battlefield, target opponent reveals his or her hand. You may cast an instant or sorcery card from it without paying its mana cost.",3,2,2,Uncommon,"Viashino,Shaman",Creature
143,Mogg Flunkies,2,R,Mogg Flunkies can't attack or block alone.,3,3,3,Common,Goblin,Creature
144,Reckless Brute,3,R,Haste (This creature can attack and {T} as soon as it comes under your control.)\nReckless Brute attacks each turn if able.,3,3,1,Common,"Ogre,Warrior",Creature
145,Reverberate,2,R,Copy target instant or sorcery spell. You may choose new targets for the copy.,"2,3",,,Rare,,Instant
146,Rummaging Goblin,3,R,"{T}, Discard a card: Draw a card.",3,1,1,Common,"Goblin,Rogue",Creature
147,Searing Spear,2,R,Searing Spear deals 3 damage to target creature or player.,3,,,Common,,Instant
148,Slumbering Dragon,1,R,"Flying\nSlumbering Dragon can't attack or block unless it has five or more +1/+1 counters on it.\nWhenever a creature attacks you or a planeswalker you control, put a +1/+1 counter on Slumbering Dragon.",3,3,3,Rare,Dragon,Creature
149,Smelt,1,R,Destroy target artifact.,3,,,Common,,Instant
150,Thundermaw Hellkite,5,R,"Flying\nHaste (This creature can attack and {T} as soon as it comes under your control.)\nWhen Thundermaw Hellkite enters the battlefield, it deals 1 damage to each creature with flying your opponents control. Tap those creatures.",3,5,5,Mythic Rare,Dragon,Creature
151,Torch Fiend,2,R,"{R}, Sacrifice Torch Fiend: Destroy target artifact.",3,2,1,Uncommon,Devil,Creature
152,Trumpet Blast,3,R,Attacking creatures get +2/+0 until end of turn.,3,,,Common,,Instant
153,Turn to Slag,5,R,Turn to Slag deals 5 damage to target creature. Destroy all Equipment attached to that creature.,3,,,Common,,Sorcery
154,Volcanic Geyser,2,R,Volcanic Geyser deals X damage to target creature or player.,3,,,Uncommon,,Instant
155,Volcanic Strength,2,R,Enchant creature\nEnchanted creature gets +2/+2 and has mountainwalk. (It can't be blocked as long as defending player controls a Mountain.),3,,,Common,Aura,Enchantment
156,Wall of Fire,3,R,Defender (This creature can't attack.)\n{R}: Wall of Fire gets +1/+0 until end of turn.,3,0,5,Common,Wall,Creature
157,Wild Guess,2,R,"As an additional cost to cast Wild Guess, discard a card.\nDraw two cards.",3,,,Common,,Sorcery
158,Worldfire,9,R,Exile all permanents. Exile all cards from all hands and graveyards. Each player's life total becomes 1.,3,,,Mythic Rare,,Sorcery
159,Acidic Slime,5,G,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)\nWhen Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.","2,3",2,2,Uncommon,Ooze,Creature
160,Arbor Elf,1,G,{T}: Untap target Forest.,3,1,1,Common,"Elf,Druid",Creature
161,Bond Beetle,1,G,"When Bond Beetle enters the battlefield, put a +1/+1 counter on target creature.",3,0,1,Common,Insect,Creature
162,Boundless Realms,7,G,"Search your library for up to X basic land cards, where X is the number of lands you control, and put them onto the battlefield tapped. Then shuffle your library.",3,,,Rare,,Sorcery
163,Bountiful Harvest,5,G,You gain 1 life for each land you control.,"2,3",,,Common,,Sorcery
164,Centaur Courser,3,G,,3,3,3,Common,"Centaur,Warrior",Creature
165,Deadly Recluse,2,G,Reach (This creature can block creatures with flying.)\nDeathtouch (Any amount of damage this deals to a creature is enough to destroy it.),3,1,2,Common,Spider,Creature
166,Duskdale Wurm,7,G,Trample (This creature can deal excess combat damage to defending player or planeswalker while attacking.),3,7,7,Uncommon,Wurm,Creature
167,Elderscale Wurm,7,G,"Trample\nWhen Elderscale Wurm enters the battlefield, if your life total is less than 7, your life total becomes 7.\nAs long as you have 7 or more life, damage that would reduce your life total to less than 7 reduces it to 7 instead.",3,7,7,Mythic Rare,Wurm,Creature
168,Elvish Archdruid,3,G,Other Elf creatures you control get +1/+1.\n{T}: Add {G} to your mana pool for each Elf you control.,"2,3",2,2,Rare,"Elf,Druid",Creature
169,Elvish Visionary,2,G,"When Elvish Visionary enters the battlefield, draw a card.",3,1,1,Common,"Elf,Shaman",Creature
170,Farseek,2,G,"Search your library for a Plains, Island, Swamp, or Mountain card and put it onto the battlefield tapped. Then shuffle your library.",3,,,Common,,Sorcery
171,Flinthoof Boar,2,"G,R",Flinthoof Boar gets +1/+1 as long as you control a Mountain.\n{R}: Flinthoof Boar gains haste until end of turn. (It can attack and {T} this turn.),3,2,2,Uncommon,Boar,Creature
172,Fog,1,G,Prevent all combat damage that would be dealt this turn.,"2,3",,,Common,,Instant
173,Fungal Sprouting,4,G,"Put X 1/1 green Saproling creature tokens onto the battlefield, where X is the greatest power among creatures you control.",3,,,Uncommon,,Sorcery
174,"Garruk, Primal Hunter",5,G,+1: Put a 3/3 green Beast creature token onto the battlefield.\n−3: Draw cards equal to the greatest power among creatures you control.\n−6: Put a 6/6 green Wurm creature token onto the battlefield for each land you control.,"2,3",,,Mythic Rare,Garruk,Planeswalker
175,Garruk's Packleader,5,G,"Whenever another creature with power 3 or greater enters the battlefield under your control, you may draw a card.",3,4,4,Uncommon,Beast,Creature
176,Ground Seal,2,G,"When Ground Seal enters the battlefield, draw a card.\nCards in graveyards can't be the targets of spells or abilities.",3,,,Rare,,Enchantment
177,Mwonvuli Beast Tracker,3,G,"When Mwonvuli Beast Tracker enters the battlefield, search your library for a creature card with deathtouch, hexproof, reach, or trample and reveal it. Shuffle your library and put that card on top of it.",3,2,1,Uncommon,"Human,Scout",Creature
178,Naturalize,2,G,Destroy target artifact or enchantment.,"2,3",,,Common,,Instant
179,Plummet,2,G,Destroy target creature with flying.,"2,3",,,Common,,Instant
180,Predatory Rampage,5,G,Creatures you control get +3/+3 until end of turn. Each creature your opponents control blocks this turn if able.,3,,,Rare,,Sorcery
181,Prey Upon,1,G,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.),3,,,Common,,Sorcery
182,Primal Huntbeast,4,G,Hexproof (This creature can't be the target of spells or abilities your opponents control.),3,3,3,Common,Beast,Creature
183,Primordial Hydra,2,G,"Primordial Hydra enters the battlefield with X +1/+1 counters on it.\nAt the beginning of your upkeep, double the number of +1/+1 counters on Primordial Hydra.\nPrimordial Hydra has trample as long as it has ten or more +1/+1 counters on it.","2,3",0,0,Mythic Rare,Hydra,Creature
184,Quirion Dryad,2,G,"Whenever you cast a white, blue, black, or red spell, put a +1/+1 counter on Quirion Dryad.",3,1,1,Rare,Dryad,Creature
185,Rancor,1,G,"Enchant creature\nEnchanted creature gets +2/+0 and has trample.\nWhen Rancor is put into a graveyard from the battlefield, return Rancor to its owner's hand.",3,,,Uncommon,Aura,Enchantment
186,Ranger's Path,4,G,Search your library for up to two Forest cards and put them onto the battlefield tapped. Then shuffle your library.,3,,,Common,,Sorcery
187,Revive,2,G,Return target green card from your graveyard to your hand.,3,,,Uncommon,,Sorcery
188,Roaring Primadox,4,G,"At the beginning of your upkeep, return a creature you control to its owner's hand.",3,4,4,Uncommon,Beast,Creature
